,PSS_SCHOOL_ID,PSS_INST,LOGRADE,HIGRADE,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8,PSS_ASSOC_9,PSS_ASSOC_10,PSS_ASSOC_11,PSS_ASSOC_12,PSS_ASSOC_13,PSS_ASSOC_14,PSS_ASSOC_15,FULL_ADDRESS,COORDINATE,DISTRICTS
0,A9700074,91ST PSALM CHRISTIAN SCHOOL,2,17,2020 E BASELINE RD,PHOENIX,4013,13,AZ,4,85042,6022431900,180.0,7.41,No,,17.0,18.0,13.0,15.0,16.0,17.0,13.0,12.0,16.0,6.0,10.0,10.0,2.0,7.0,172.0,155.0,1.0,4.0,89.0,13.0,43.0,0.0,5.0,15.3,11,1,1,3,2,1,0.64,2.58,57.41,8.38,27.74,0.0,3.22,10.13,8,MARICOPA,Association of Christian Schools International (ACSI),,,,,,,,,,,,,,,"2020 E BASELINE RD,PHOENIX,AZ",POINT (-112.037798 33.378833),['Roosevelt Elementary District']
1,A1970230,A PLACE 4 EVERYONE LEARNING CENTER,2,11,7040 E SPRST SPG BLVD,MESA,4013,13,AZ,4,85209,4809856797,180.0,6.0,No,5.0,10.0,28.0,8.0,5.0,,,2.0,3.0,,,,,,,61.0,51.0,3.0,0.0,14.0,6.0,23.0,5.0,0.0,6.4,11,1,4,1,3,1,5.88,0.0,27.45,11.76,45.09,9.8,0.0,7.96,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"7040 E SPRST SPG BLVD,MESA,AZ",POINT (-111.8314724 33.4151843),['Mesa Unified District']
2,A9100380,ACCEL,3,17,10251 N 35TH AVE,PHOENIX,4013,13,AZ,4,85051,6029957366,180.0,6.0,Yes,,,1.0,8.0,6.0,13.0,8.0,19.0,11.0,22.0,22.0,19.0,12.0,18.0,25.0,184.0,184.0,3.0,1.0,73.0,23.0,79.0,0.0,5.0,19.0,11,1,4,3,3,1,1.63,0.54,39.67,12.5,42.93,0.0,2.71,9.68,30,MARICOPA,National Association of Private Special Education Centers (NAPSEC),,,,,,,,,,,,,,,"10251 N 35TH AVE,PHOENIX,AZ",POINT (-112.1331113 33.5799482),['Washington Elementary District']
3,A2100146,ACCEL EAST CAMPUS,3,17,1430 E BASELINE RD,TEMPE,4013,13,AZ,4,85283,4807559379,180.0,6.0,No,,,2.0,2.0,3.0,3.0,2.0,3.0,,7.0,9.0,1.0,6.0,6.0,17.0,61.0,61.0,1.0,3.0,15.0,12.0,29.0,0.0,1.0,7.0,12,1,4,3,3,1,1.63,4.91,24.59,19.67,47.54,0.0,1.63,8.71,30,MARICOPA,National Association of Private Special Education Centers (NAPSEC),,,,,,,,,,,,,,,"1430 E BASELINE RD,TEMPE,AZ",POINT (-111.9141149 33.3787483),['Tempe School District']
4,A2100148,ACES-PEORIA,3,17,6815 W CACTUS RD,PEORIA,4013,13,AZ,4,85381,6239375090,186.0,6.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,36.0,21,1,4,3,3,2,,,,,,,,,30,MARICOPA,National Association of Private Special Education Centers (NAPSEC),,,,,,,,,,,,,,,"6815 W CACTUS RD,PEORIA,AZ",POINT (-112.2051997 33.5958004),['Peoria Unified School District']
5,BB220005,ACTON ACADEMY PHOENIX,2,12,3330 E CAMELBACK RD,PHOENIX,4013,13,AZ,4,85018,9787954342,169.0,6.75,No,,2.0,7.0,2.0,,4.0,5.0,1.0,2.0,2.0,,,,,,25.0,23.0,2.0,0.0,2.0,0.0,18.0,0.0,1.0,4.0,11,1,6,1,3,1,8.69,0.0,8.69,0.0,78.26,0.0,4.34,5.75,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"3330 E CAMELBACK RD,PHOENIX,AZ",POINT (-112.009835 33.5104422),"['Phoenix Union High School District', 'Creighton Elementary District']"
6,A1900086,ADOBE ADVENTIST CHRISTIAN SCHOOL,3,13,9910 E ADOBE RD,MESA,4013,13,AZ,4,85207,4806885416,180.0,7.5,Yes,,,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,,,,,17.0,17.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,1.9,21,1,1,1,2,2,0.0,0.0,58.82,0.0,41.17,0.0,0.0,8.94,28,MARICOPA,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,,,,,,,,,"9910 E ADOBE RD,MESA,AZ",POINT (-111.6170372 33.4300088),['Mesa Unified District']
7,A0900114,AHWATUKEE FOOTHILLS MONTESSORI,2,3,3221 E CHANDLER BLVD,PHOENIX,4013,13,AZ,4,85048,4807593810,200.0,5.5,No,,68.0,9.0,,,,,,,,,,,,,77.0,9.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,9.0,11,1,7,1,3,1,0.0,22.22,0.0,11.11,66.66,0.0,0.0,1.0,30,MARICOPA,American Montessori Society (AMS),,,,,,,,,,,,,,,"3221 E CHANDLER BLVD,PHOENIX,AZ",POINT (-112.0129382 33.3036041),"['Tempe Union High School District', 'Kyrene Elementary District']"
8,A1900088,ALL SAINTS CATHOLIC SCHOOL,2,13,1425 E YAQUI ST,SIERRA VISTA,4003,3,AZ,4,85650,5203787012,180.0,7.0,Yes,,22.0,12.0,15.0,8.0,9.0,8.0,6.0,5.0,4.0,2.0,,,,,91.0,69.0,1.0,3.0,36.0,0.0,25.0,1.0,3.0,8.3,41,1,1,1,1,4,1.44,4.34,52.17,0.0,36.23,1.44,4.34,8.31,1,COCHISE,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"1425 E YAQUI ST,SIERRA VISTA,AZ",POINT (-110.2836557 31.4823992),['Sierra Vista Unified District']
9,31764,ALL SAINTS' EPISCOPAL DAY SCHOOL,2,13,6300 N CENTRAL AVE,PHOENIX,4013,13,AZ,4,85012,6022744866,173.0,7.0,Yes,,30.0,41.0,48.0,49.0,49.0,53.0,62.0,61.0,63.0,68.0,,,,,524.0,494.0,1.0,29.0,57.0,20.0,330.0,1.0,56.0,51.6,11,1,1,1,2,1,0.2,5.87,11.53,4.04,66.8,0.2,11.33,9.57,14,MARICOPA,National Association of Episcopal Schools (NAES),National Association of Independent Schools (NAIS),State or regional independent school association,Other school association(s),,,,,,,,,,,,"6300 N CENTRAL AVE,PHOENIX,AZ",POINT (-112.0761716 33.5295484),['Madison Elementary District']
